标题： 漂流友大爆炸 	 链接：http://tieba.baidu.com//p/6105494675 	 发帖人：kaiht403 	 发帖时间：4-18 	 回复数量： 0 
标题： 求分享生活大爆炸第八和第九季全集，不要压缩包谢谢 	 链接：http://tieba.baidu.com//p/5992608831 	 发帖人：半世伶... 	 发帖时间：2018-12 	 回复数量： 12 
标题： lx商城：海静潜涌 	 链接：http://tieba.baidu.com//p/6105319653 	 发帖人：憶雨詩菲q 	 发帖时间：4-18 	 回复数量： 0 
标题： 想看一片关于写生活大爆炸的爆文 	 链接：http://tieba.baidu.com//p/6105247953 	 发帖人：owenpano 	 发帖时间：4-18 	 回复数量： 0 
标题： 求谢尔顿魔性的表情包 	 链接：http://tieba.baidu.com//p/6104952705 	 发帖人：ljkhlbt 	 发帖时间：4-18 	 回复数量： 0 
标题： 开心一刻 	 链接：http://tieba.baidu.com//p/6099818993 	 发帖人：day浮生如梦8 	 发帖时间：4-13 	 回复数量： 2 
标题： 第十一季 伯特的女友是谁？？？ 	 链接：http://tieba.baidu.com//p/6088558128 	 发帖人：shasdshasd 	 发帖时间：4-3 	 回复数量： 8 
标题： 椰语江南火锅味道怎么样？？？？ 	 链接：http://tieba.baidu.com//p/6096350130 	 发帖人：eggegg0112 	 发帖时间：4-10 	 回复数量： 0 
标题： 普林斯顿大学很牛啊，为什么莱纳德会因此被取笑？ 	 链接：http://tieba.baidu.com//p/3145487260 	 发帖人：tranklau886 	 发帖时间：2014-07 	 回复数量： 33 
标题： 这是那一季哪一集 	 链接：http://tieba.baidu.com//p/6099618814 	 发帖人：相信点报v 	 发帖时间：4-13 	 回复数量： 3 
标题： 🈴️生活大爆炸🍓1～12季1080p❤️完整版 	 链接：http://tieba.baidu.com//p/6103189269 	 发帖人：你真好看... 	 发帖时间：4-16 	 回复数量： 517 
标题： 神剧终将完结，来看看大家十二年的变化吧 	 链接：http://tieba.baidu.com//p/6107380682 	 发帖人：EG_Sariel 	 发帖时间：17:14 	 回复数量： 2 
标题： 🈴️生活大爆炸🍓1～12季1080p❤️完整版 	 链接：http://tieba.baidu.com//p/6107519183 	 发帖人：334007099 	 发帖时间：20:00 	 回复数量： 5 
标题： 为什么只有克莱尔穿的很暴露，其它妹纸穿着都好保守啊 	 链接：http://tieba.baidu.com//p/5492653311 	 发帖人：耳朵Moonpie 	 发帖时间：2017-12 	 回复数量： 28 
标题： 拉杰什千万不要结婚啊! 	 链接：http://tieba.baidu.com//p/5911673988 	 发帖人：就要蚪一蚪 	 发帖时间：2018-10 	 回复数量： 6 
标题： 生活D爆炸1-12 	 链接：http://tieba.baidu.com//p/6107491869 	 发帖人：1469053946K 	 发帖时间：19:27 	 回复数量： 2 
